epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_indian_f1,ood_indian_f1_micro
0,,0.2976500032025934,0.32214526191620335,0.4114583333333333,0.3586206896551724,0.1904865649963689,0.43373493975903615,0.39562320562320563,0.6296296296296297,0.33631409786386796,0.5879828326180258
1,0.0296004990555553,0.6332687910149354,0.5563945168336221,0.765625,0.6896551724137931,0.2220154435309344,0.39759036144578314,0.4331105299585823,0.6172839506172839,0.4381944244546091,0.6652360515021459
2,0.01750268218004041,0.7789116579953791,0.577816806849065,0.8940972222222222,0.7172413793103448,0.26943780736021034,0.5421686746987951,0.40801115849304614,0.5802469135802469,0.44915637537294134,0.6523605150214592
3,0.010929093764894383,0.8940958823590094,0.6564238851232626,0.9704861111111112,0.7586206896551724,0.26549928332537026,0.5542168674698795,0.43572961286209927,0.5925925925925926,0.4672775582954767,0.6738197424892703
4,0.005492933850392647,0.9840649657271625,0.6232010984184897,0.9895833333333334,0.7034482758620689,0.2650174825174825,0.5301204819277109,0.4039480259870065,0.5185185185185185,0.4470109608789935,0.6266094420600858
5,0.003871010011708778,0.9597437792457439,0.623637387546617,0.9861111111111112,0.7310344827586207,0.2868303768924887,0.5060240963855421,0.39996982543566395,0.5185185185185185,0.433948848948849,0.6266094420600858
6,0.0027036479322204185,0.9792106205534541,0.7112840862840862,0.9913194444444444,0.7172413793103448,0.243604612576738,0.4819277108433735,0.44798662792106536,0.5185185185185185,0.4698122807727896,0.6609442060085837
7,0.0018052984812836964,0.9942921589706296,0.6213513820830895,0.9947916666666666,0.7103448275862069,0.2569884643057631,0.5060240963855421,0.4629365059472586,0.5555555555555556,0.4921165624426493,0.6995708154506438
8,0.0014621195405197795,0.9959620791579555,0.592572583962527,0.9930555555555556,0.7034482758620689,0.2845025603165138,0.46987951807228917,0.4717202550535884,0.5679012345679012,0.46927461427461437,0.6652360515021459
9,0.001537557679613302,0.997730128317402,0.5766784110426568,0.9965277777777778,0.6896551724137931,0.22727560067985603,0.46987951807228917,0.4565203859321506,0.5679012345679012,0.4674365404243453,0.6652360515021459
10,0.001326423301482767,1.0,0.6323514998514999,1.0,0.7172413793103448,0.2402663209966402,0.4819277108433735,0.4944150499706055,0.5802469135802469,0.4777014036388779,0.6738197424892703
