epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_indian_f1,ood_indian_f1_micro,ood_ultra_f1,ood_ultra_f1_micro
1,0.022362460481111682,0.8384026780330383,0.6869074699022284,0.8650904033379694,0.7638376383763837,0.3357352500748727,0.6385542168674698,0.791350073727123,0.8024691358024691,0.6688055671926639,0.8454935622317596,0.5678442408569451,0.6827586206896552
2,0.0122933670588397,0.9054060314091148,0.7194004505835114,0.9304589707927677,0.7804428044280443,0.38555163884730737,0.6867469879518072,0.7130568356374808,0.7901234567901234,0.8053625507394792,0.8626609442060086,0.5643337277379831,0.696551724137931
3,0.0072363055590259654,0.9487270162170315,0.7623021192365755,0.9643022716736208,0.8025830258302583,0.5004863449307894,0.7228915662650602,0.800987288854936,0.8271604938271605,0.8644562272956218,0.8884120171673819,0.6161764705882353,0.696551724137931
4,0.00501227051584914,0.9591380370943309,0.7122609355036417,0.9726471951784886,0.7767527675276753,0.4785476868810201,0.7228915662650602,0.748242020822666,0.7901234567901234,0.7367650767987349,0.8626609442060086,0.5431975433851702,0.6620689655172414
5,0.003908640449749913,0.9643408683605227,0.71346398680054,0.9740380157626333,0.7712177121771218,0.29479822437449554,0.6506024096385542,0.7042785393970644,0.7777777777777778,0.8451347040056717,0.871244635193133,0.5566613266884192,0.6758620689655173
6,0.0037158191570579708,0.9752120618476912,0.7175690002418986,0.9777468706536857,0.7730627306273062,0.3939559948898232,0.6385542168674698,0.7615141396503404,0.7777777777777778,0.8323377242387385,0.8755364806866953,0.570031921503934,0.6827586206896552
7,0.003313855000718607,0.9775944734958808,0.7260001753633814,0.9828465461288827,0.7785977859778598,0.41584975369458127,0.6867469879518072,0.7197547615458063,0.7654320987654321,0.8065412779378859,0.8626609442060086,0.6125104552310434,0.7034482758620689
8,0.0026071043503955154,0.9782548448509012,0.7131946393896633,0.9828465461288827,0.7619926199261993,0.3541443063772063,0.6144578313253012,0.7916134209040387,0.7901234567901234,0.8067985276547895,0.8412017167381974,0.627814536340852,0.7034482758620689
9,0.00237577652041181,0.9838609293563054,0.7024681496031201,0.989800649049606,0.7730627306273062,0.32510368365802067,0.6385542168674698,0.6947513391957837,0.7901234567901234,0.6992046545119872,0.8583690987124464,0.6209675649414043,0.7034482758620689
10,0.002031276316397204,0.9825608006776635,0.7192197895358838,0.989800649049606,0.7804428044280443,0.39584353146853146,0.6867469879518072,0.820146447597428,0.8271604938271605,0.7992066219710569,0.871244635193133,0.5807305701984601,0.6620689655172414
