epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_indian_f1,ood_indian_f1_micro
0,,0.2976500032025934,0.32214526191620335,0.4114583333333333,0.3586206896551724,0.1904865649963689,0.43373493975903615,0.39562320562320563,0.6296296296296297,0.33631409786386796,0.5879828326180258
1,0.03881523663423852,0.05491183879093199,0.05500000000000001,0.3784722222222222,0.3793103448275862,0.012626262626262626,0.060240963855421686,0.026570048309178744,0.13580246913580246,0.022137404580152672,0.12446351931330472
2,0.03622225402311111,0.05491183879093199,0.05500000000000001,0.3784722222222222,0.3793103448275862,0.012626262626262626,0.060240963855421686,0.026570048309178744,0.13580246913580246,0.022137404580152672,0.12446351931330472
3,0.035849852590925164,0.05491183879093199,0.05500000000000001,0.3784722222222222,0.3793103448275862,0.012626262626262626,0.060240963855421686,0.026570048309178744,0.13580246913580246,0.022137404580152672,0.12446351931330472
4,0.03604178972697506,0.05491183879093199,0.05500000000000001,0.3784722222222222,0.3793103448275862,0.012626262626262626,0.060240963855421686,0.026570048309178744,0.13580246913580246,0.022137404580152672,0.12446351931330472
5,0.03579807809243599,0.05491183879093199,0.05500000000000001,0.3784722222222222,0.3793103448275862,0.012626262626262626,0.060240963855421686,0.026570048309178744,0.13580246913580246,0.022137404580152672,0.12446351931330472
6,0.03548684968457868,0.05491183879093199,0.05500000000000001,0.3784722222222222,0.3793103448275862,0.012626262626262626,0.060240963855421686,0.026570048309178744,0.13580246913580246,0.022137404580152672,0.12446351931330472
7,0.03566536806303904,0.05491183879093199,0.05500000000000001,0.3784722222222222,0.3793103448275862,0.012626262626262626,0.060240963855421686,0.026570048309178744,0.13580246913580246,0.022137404580152672,0.12446351931330472
8,0.035612556394577645,0.05491183879093199,0.05500000000000001,0.3784722222222222,0.3793103448275862,0.012626262626262626,0.060240963855421686,0.026570048309178744,0.13580246913580246,0.022137404580152672,0.12446351931330472
9,0.035741645868660674,0.05491183879093199,0.05500000000000001,0.3784722222222222,0.3793103448275862,0.012626262626262626,0.060240963855421686,0.026570048309178744,0.13580246913580246,0.022137404580152672,0.12446351931330472
10,0.03566019552656346,0.05491183879093199,0.05500000000000001,0.3784722222222222,0.3793103448275862,0.012626262626262626,0.060240963855421686,0.026570048309178744,0.13580246913580246,0.022137404580152672,0.12446351931330472
