epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_ultra_f1,ood_ultra_f1_micro
0,,0.38469280213377316,0.33631409786386796,0.6088362068965517,0.5879828326180258,0.1904865649963689,0.43373493975903615,0.39562320562320563,0.6296296296296297,0.32214526191620335,0.3586206896551724
1,0.019377879223360775,0.8368937704927486,0.6197759850904442,0.8868534482758621,0.7725321888412017,0.24242647963578193,0.5060240963855421,0.617328350661684,0.7160493827160493,0.33251028423706286,0.3310344827586207
2,0.008203939058023087,0.9546696351789883,0.6834177267614538,0.9773706896551724,0.8540772532188842,0.3135000801667468,0.5301204819277109,0.6915948249281584,0.7530864197530864,0.40284917043740576,0.3931034482758621
3,0.0038906945726545207,0.9904207391988115,0.8180127930540225,0.990301724137931,0.8583690987124464,0.3188983855650523,0.5662650602409639,0.7374894563300362,0.7777777777777778,0.3998529286029286,0.4413793103448276
4,0.0029794767165028666,0.9962765865046104,0.8173552581573571,0.9956896551724138,0.8626609442060086,0.31435380620688547,0.5783132530120482,0.6787004857427392,0.7407407407407407,0.37338005404181873,0.3793103448275862
5,0.0018171520172598258,0.9971724872564627,0.8287887124274821,0.9967672413793104,0.871244635193133,0.33262000017319165,0.5662650602409639,0.7195124159054507,0.7654320987654321,0.3898587122116534,0.4206896551724138
6,0.001066615563731516,0.9969191601354677,0.8539723641138736,0.9967672413793104,0.8755364806866953,0.34422608549592676,0.5542168674698795,0.6972267610748004,0.7530864197530864,0.36628622010500567,0.3931034482758621
7,0.0023912418306155877,0.9830513753648417,0.7616033061478186,0.9827586206896551,0.8240343347639485,0.2863874584028628,0.4939759036144578,0.7357395454155898,0.7777777777777778,0.41321357856675867,0.4482758620689655
8,0.0025785326038046683,0.9965477358496244,0.776609884368505,0.9967672413793104,0.8540772532188842,0.3163050644391568,0.5421686746987951,0.7372204556518283,0.7654320987654321,0.4758130157344474,0.503448275862069
9,0.0015104062463721895,0.9963817677455928,0.8694990700620387,0.9956896551724138,0.8798283261802575,0.33962875167606893,0.5542168674698795,0.7898864862795212,0.8024691358024691,0.3655841670767044,0.3931034482758621
10,0.0009701239407526184,0.9991641611041784,0.8569296828363757,0.9989224137931034,0.8798283261802575,0.32025731972805116,0.5421686746987951,0.7502659444688429,0.7901234567901234,0.39163879871957136,0.4068965517241379
