epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_indian_f1,ood_indian_f1_micro
0,,0.2976500032025934,0.32214526191620335,0.4114583333333333,0.3586206896551724,0.1904865649963689,0.43373493975903615,0.39562320562320563,0.6296296296296297,0.33631409786386796,0.5879828326180258
1,0.030210892878434,0.6395099257275687,0.4675191090164351,0.7743055555555556,0.6275862068965518,0.23449612403100772,0.46987951807228917,0.31885521885521884,0.4691358024691358,0.30810433198834514,0.5836909871244635
2,0.017891321245567977,0.7655220268705315,0.5456801165611235,0.8975694444444444,0.7034482758620689,0.29106488749345893,0.5301204819277109,0.3707709643236396,0.5432098765432098,0.35855188158650786,0.5708154506437768
3,0.010892379222140234,0.8910688681598365,0.6411448158048634,0.9652777777777778,0.7379310344827587,0.22110329639102017,0.4578313253012048,0.43583531478268317,0.5679012345679012,0.4270367231638418,0.5708154506437768
4,0.005527763440315741,0.9909228055593597,0.5879296890360337,0.9947916666666666,0.696551724137931,0.23496262141220123,0.4819277108433735,0.4163704778799119,0.6049382716049383,0.4969823404458669,0.6652360515021459
5,0.0033483538653753283,0.9952983923989643,0.6488613572725722,0.9947916666666666,0.7448275862068966,0.27905575042372494,0.4939759036144578,0.4027768930588896,0.5308641975308642,0.41816203741203745,0.5965665236051502
6,0.002456026567920667,0.9939490653334921,0.6053726273726274,0.9930555555555556,0.7103448275862069,0.28520079529396297,0.5180722891566265,0.4455286866303816,0.5555555555555556,0.4208579189627577,0.630901287553648
7,0.0029557477761651776,0.9957602093262313,0.5851655351002519,0.9947916666666666,0.6896551724137931,0.24657687697504632,0.4939759036144578,0.383792982616512,0.5432098765432098,0.3902804194118112,0.5321888412017167
8,0.001699661820869854,0.9979704102789343,0.571939714578207,0.9965277777777778,0.6827586206896552,0.25125863784248875,0.5421686746987951,0.42598153129462424,0.5802469135802469,0.40502510475900194,0.6180257510729614
9,0.0010263041915297639,1.0,0.5961993886184989,1.0,0.7034482758620689,0.25321840315073396,0.5060240963855421,0.4864305371271316,0.5925925925925926,0.4168986042692939,0.6223175965665236
10,0.0008939474347345014,1.0,0.577903987903988,1.0,0.696551724137931,0.2628405797101449,0.5301204819277109,0.48501221001221,0.5925925925925926,0.4158358791994828,0.6137339055793991
