epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_indian_f1,ood_indian_f1_micro
0,,0.2976500032025934,0.32214526191620335,0.4114583333333333,0.3586206896551724,0.1904865649963689,0.43373493975903615,0.39562320562320563,0.6296296296296297,0.33631409786386796,0.5879828326180258
1,0.032934537603675075,0.49225365038702185,0.4123202729085082,0.6822916666666666,0.6068965517241379,0.10923923040135379,0.25301204819277107,0.16589228283906157,0.3333333333333333,0.19106106436414966,0.4034334763948498
2,0.019847259459008153,0.7694340040265001,0.5804567045560495,0.8767361111111112,0.696551724137931,0.24646031094964646,0.5301204819277109,0.3358154372860255,0.5555555555555556,0.4734440728433795,0.6437768240343348
3,0.0112032135891948,0.8597042267453949,0.5498638583638583,0.9670138888888888,0.6551724137931034,0.24807407912997972,0.4819277108433735,0.3778642653642653,0.48148148148148145,0.4545406096201431,0.6137339055793991
4,0.006124839097335805,0.9743287375260378,0.6053387001910752,0.9878472222222222,0.7103448275862069,0.2800015025167155,0.5060240963855421,0.33118262694130557,0.4691358024691358,0.4242500656340125,0.6223175965665236
5,0.003570863211886414,0.9727464255278857,0.6156488909361081,0.9965277777777778,0.7103448275862069,0.2518988332941821,0.5180722891566265,0.4074065368183015,0.5185185185185185,0.45455460480377424,0.6437768240343348
6,0.0022216063403498586,1.0,0.6694329994329994,1.0,0.7172413793103448,0.26289091787236124,0.5060240963855421,0.386163292045645,0.5061728395061729,0.48313891363212347,0.6781115879828327
7,0.0025760200763519,0.9853387533875338,0.6535205391303055,0.9965277777777778,0.6827586206896552,0.2547460419800845,0.4578313253012048,0.4742869306087697,0.5925925925925926,0.4236427060550483,0.6351931330472103
8,0.003743275377928512,0.9983361271496864,0.6792909942909943,0.9982638888888888,0.6896551724137931,0.1926366641240783,0.43373493975903615,0.4169921474269301,0.49382716049382713,0.42077703139772105,0.5879828326180258
9,0.0018471544430617036,0.9897045438224747,0.5916454036637523,0.9895833333333334,0.6758620689655173,0.28068220010143785,0.4939759036144578,0.38575394842261407,0.49382716049382713,0.42822303350791113,0.592274678111588
10,0.00147857389149269,0.9974600456621003,0.6067329993824196,0.9965277777777778,0.6896551724137931,0.23987878787878789,0.4578313253012048,0.3880339341123655,0.5061728395061729,0.4194893090107034,0.5793991416309013
