epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_indian_f1,ood_indian_f1_micro
1,0.02886544009541265,0.6803251556873975,0.5071320930276542,0.8229166666666666,0.6689655172413793,0.25777224470034926,0.5180722891566265,0.40989701288208746,0.5925925925925926,0.4070345898753934,0.6266094420600858
2,0.015368623802108536,0.8447896544162574,0.5285551163812034,0.9427083333333334,0.6413793103448275,0.3116468913146654,0.5542168674698795,0.41906787169945064,0.5432098765432098,0.5004982267334924,0.6609442060085837
3,0.008946866012087816,0.9122088046277819,0.590018691319001,0.9739583333333334,0.6896551724137931,0.2655580750818846,0.46987951807228917,0.4181144807412556,0.5555555555555556,0.4559416079619815,0.648068669527897
4,0.005533356110390741,0.9657540546558451,0.7224422424422425,0.9895833333333334,0.7241379310344828,0.23280222424887267,0.4819277108433735,0.45850023304651255,0.5432098765432098,0.4542269703395023,0.6695278969957081
5,0.0035726485002669506,0.9941379961690373,0.6852955366113261,0.9930555555555556,0.7103448275862069,0.23197940844695703,0.4819277108433735,0.41813346421189557,0.5679012345679012,0.49299150329786345,0.6652360515021459
6,0.0023073248822685047,0.9992061952966426,0.6779515393960305,0.9982638888888888,0.7034482758620689,0.2686411736411736,0.5060240963855421,0.4993319437763881,0.5925925925925926,0.48657894516512135,0.6781115879828327
7,0.00154099893552484,0.9992061952966426,0.6673558399761477,0.9982638888888888,0.7034482758620689,0.2489157772052509,0.5421686746987951,0.4514696133841386,0.6049382716049383,0.4807710542454576,0.6824034334763949
8,0.0036194484596813303,0.9927993611446763,0.6500881574565786,0.9878472222222222,0.6758620689655173,0.2208080808080808,0.43373493975903615,0.4157322976471913,0.4567901234567901,0.44063244467887613,0.5879828326180258
9,0.002246557421838386,0.9854666676732542,0.676446273814695,0.9930555555555556,0.696551724137931,0.1884797179624766,0.3855421686746988,0.4411497617171376,0.5185185185185185,0.45480458510970234,0.5836909871244635
10,0.0022980791956999586,0.9969398881574539,0.5513783939002963,0.9965277777777778,0.6551724137931034,0.27451629072681705,0.4578313253012048,0.48135957540911106,0.5925925925925926,0.4584364542395914,0.6008583690987125
