epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_indian_f1,ood_indian_f1_micro,ood_ultra_f1,ood_ultra_f1_micro
0,,0.4299986666263438,0.39562320562320563,0.6043613707165109,0.6296296296296297,0.1904865649963689,0.43373493975903615,0.33631409786386796,0.5879828326180258,0.32214526191620335,0.3586206896551724
1,0.028573343501374217,0.7583369661967352,0.661008434253216,0.8909657320872274,0.7654320987654321,0.2672832430727167,0.6144578313253012,0.5942450506772758,0.7854077253218884,0.4470454296661194,0.5586206896551724
2,0.012496208659263316,0.8192223889555823,0.6739111242787713,0.9065420560747663,0.7407407407407407,0.29884939762581586,0.6265060240963856,0.5255309905148615,0.6652360515021459,0.3999448613402102,0.45517241379310347
3,0.00679742070840475,1.0,0.8126940558099979,1.0,0.8271604938271605,0.28967310050016815,0.5662650602409639,0.6943773689204807,0.8240343347639485,0.4893261703508383,0.5310344827586206
4,0.0035377667482178773,1.0,0.803260009838125,1.0,0.8148148148148148,0.35214076033298003,0.6024096385542169,0.6929696958341459,0.8240343347639485,0.49990600797052415,0.5517241379310345
5,0.002382778013067216,1.0,0.8370445751042765,1.0,0.8395061728395061,0.2782422586520947,0.6024096385542169,0.7211463188564959,0.8540772532188842,0.4955745179358373,0.5310344827586206
6,0.001964598566565593,1.0,0.8519475921681804,1.0,0.8518518518518519,0.34227558604917097,0.6265060240963856,0.7149270192967253,0.8412017167381974,0.4925239892247565,0.5379310344827586
7,0.0015483194700390192,1.0,0.8226028628234512,1.0,0.8395061728395061,0.3052380952380952,0.6265060240963856,0.7302260995932622,0.8540772532188842,0.48277160721693935,0.5448275862068965
8,0.0013664087178677274,1.0,0.8226028628234512,1.0,0.8395061728395061,0.2835083921926027,0.6144578313253012,0.7205186379252094,0.8497854077253219,0.4837999390785095,0.5379310344827586
9,0.001347614419342869,1.0,0.817851980989236,1.0,0.8395061728395061,0.30436697805118856,0.6265060240963856,0.7069946354144809,0.8454935622317596,0.47951469583048534,0.5517241379310345
10,0.0011749199710161605,1.0,0.8226028628234512,1.0,0.8395061728395061,0.30411445279866334,0.6265060240963856,0.7220552192630096,0.8497854077253219,0.43868931460374866,0.5172413793103449
