epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_indian_f1,ood_indian_f1_micro,ood_ultra_f1,ood_ultra_f1_micro
1,0.03046309292394982,0.19832285115303983,0.17485008818342151,0.6867469879518072,0.5903614457831325,0.08980309423347398,0.35802469135802467,0.10388992462627673,0.4592274678111588,0.06478537360890302,0.2
2,0.02202555929669684,0.414219404970629,0.20446711508916762,0.8162650602409639,0.6024096385542169,0.23319615912208505,0.49382716049382713,0.19494293819777045,0.51931330472103,0.13372727272727275,0.2689655172413793
3,0.015348142362199724,0.6184268542544007,0.35122040072859745,0.891566265060241,0.6987951807228916,0.36691979182671663,0.5308641975308642,0.2369222087641914,0.5536480686695279,0.14515110852152008,0.2689655172413793
4,0.010311321171662625,0.7358885186168558,0.4007859287585016,0.9457831325301205,0.7108433734939759,0.3240641711229946,0.5061728395061729,0.2581188773978148,0.5236051502145923,0.20896431940347676,0.3931034482758621
5,0.0070520740167899845,0.9454211796109029,0.3774907353854722,0.9849397590361446,0.6987951807228916,0.36118005451338786,0.5679012345679012,0.2597095495202912,0.5493562231759657,0.18063932165135888,0.33793103448275863
6,0.004868770089752254,0.974084645326734,0.44262793736477946,0.9909638554216867,0.7228915662650602,0.4363666426166426,0.6049382716049383,0.2556091779434778,0.5579399141630901,0.21087332956898175,0.30344827586206896
7,0.0032796702173774144,0.9968129993715773,0.5114668391408629,0.9969879518072289,0.7349397590361446,0.38679050567595463,0.5432098765432098,0.23470261023334485,0.5450643776824035,0.19822361546499478,0.2827586206896552
8,0.0026763968021715485,0.9861211754722062,0.464095124310178,0.9939759036144579,0.7228915662650602,0.39107515210585386,0.5555555555555556,0.26217224240212744,0.48068669527896996,0.19918673428619882,0.35172413793103446
9,0.0027634414089619218,0.9888592294027886,0.40758561414299116,0.9939759036144579,0.6506024096385542,0.43438674615145206,0.5802469135802469,0.327387589383105,0.5236051502145923,0.20537227823084683,0.3448275862068966
10,0.0019537275422123225,0.996699209669921,0.4686105720588479,0.9969879518072289,0.6867469879518072,0.4501587301587301,0.5925925925925926,0.29932830327567167,0.5622317596566524,0.17388315236675891,0.296551724137931
