epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_indian_f1,ood_indian_f1_micro,ood_ultra_f1,ood_ultra_f1_micro
1,0.02154885323422998,0.840358864926716,0.6882991006405612,0.866481223922114,0.7712177121771218,0.3702355942376951,0.6987951807228916,0.6743071017580822,0.7654320987654321,0.7250663853883995,0.8454935622317596,0.543802719468354,0.696551724137931
2,0.011313478035469945,0.9135389939333474,0.7383951276029472,0.9327770050996754,0.7804428044280443,0.32826510721247565,0.6385542168674698,0.8658119658119658,0.8518518518518519,0.8075306574595922,0.8454935622317596,0.6165358652646789,0.7172413793103448
3,0.006524768336464593,0.9660972114474209,0.7377046832679771,0.9758924432081595,0.7841328413284133,0.48518069566367156,0.7228915662650602,0.8191000357667024,0.8271604938271605,0.8334008021648506,0.8626609442060086,0.5395779220779222,0.6689655172413793
4,0.004374888636648915,0.9812859714006169,0.7435746872995403,0.9847009735744089,0.7933579335793358,0.3967404386672897,0.7349397590361446,0.868966218966219,0.8641975308641975,0.8160691202381661,0.871244635193133,0.5666650366006799,0.6620689655172414
5,0.0032644781710584737,0.9837668640638574,0.7200530407322224,0.9833101529902643,0.7675276752767528,0.3476067284496403,0.6746987951807228,0.7061542745753272,0.7654320987654321,0.8121384554081658,0.8454935622317596,0.569779757491428,0.696551724137931
6,0.0029487636598615552,0.9780826472044535,0.7362498379556861,0.9851645804357905,0.7785977859778598,0.4445220193340494,0.6867469879518072,0.7928861666566585,0.7901234567901234,0.8523317908667927,0.871244635193133,0.5716325218691797,0.6758620689655173
7,0.0030251946281926556,0.9840068170659517,0.7239782588247881,0.9870190078813167,0.7841328413284133,0.38030503978779845,0.6867469879518072,0.812446744950891,0.8271604938271605,0.8422280566838447,0.871244635193133,0.5401819917984482,0.6758620689655173
8,0.0022586894900540402,0.9848309860899647,0.7365813929252095,0.9888734353268428,0.7970479704797048,0.3982874583692818,0.6987951807228916,0.8130674880674881,0.8271604938271605,0.8141172817421971,0.8798283261802575,0.6034451907853443,0.7034482758620689
9,0.0021452493030068433,0.9901849376959545,0.7145434327504997,0.9939731108020399,0.7712177121771218,0.45419989367357794,0.6626506024096386,0.8106374302026476,0.8271604938271605,0.8335618550832076,0.8583690987124464,0.5568069326010503,0.6620689655172414
10,0.0018684926330432576,0.989613584843041,0.7233375488974823,0.9935095039406583,0.7767527675276753,0.3597684036393714,0.6626506024096386,0.8005466353292441,0.8148148148148148,0.8222909794607907,0.8540772532188842,0.5927597402597402,0.696551724137931
