epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_indian_f1,ood_indian_f1_micro,ood_ultra_f1,ood_ultra_f1_micro
1,0.028981322916336805,0.32464606716134914,0.23312425328554356,0.75,0.6506024096385542,0.1574750830564784,0.41975308641975306,0.15269307513238342,0.48497854077253216,0.12185565386917392,0.23448275862068965
2,0.017128483532557647,0.5745184922604277,0.31202049053921765,0.8855421686746988,0.6746987951807228,0.2851993552615265,0.5432098765432098,0.3330218848148331,0.6051502145922747,0.19974904890505912,0.31724137931034485
3,0.010663038724191845,0.8095308955148698,0.3383188486308529,0.9548192771084337,0.6987951807228916,0.31638314087163194,0.5308641975308642,0.32840842474201,0.6137339055793991,0.15179648637506102,0.2827586206896552
4,0.006575210749295102,0.9935551657483414,0.3498750696000828,0.9939759036144579,0.7228915662650602,0.3082892416225749,0.5308641975308642,0.2656272074353698,0.5321888412017167,0.16616540339636549,0.2896551724137931
5,0.0035683408874670514,1.0,0.4529526332805021,1.0,0.7469879518072289,0.3763741813741814,0.5679012345679012,0.3145976245447737,0.5665236051502146,0.14900133747281646,0.2689655172413793
6,0.002599306705447071,1.0,0.4719827118047362,1.0,0.7710843373493976,0.4015291224858225,0.5925925925925926,0.3566606699751861,0.6266094420600858,0.17130216585401503,0.2896551724137931
7,0.0028360651652412825,0.9925021265759688,0.4203524347592144,0.9939759036144579,0.7108433734939759,0.46216012122115413,0.6419753086419753,0.33962243932700986,0.5965665236051502,0.22643318740879717,0.33793103448275863
8,0.0019841666167871243,0.9968129993715773,0.4700524381683802,0.9969879518072289,0.6987951807228916,0.38857099782472915,0.5679012345679012,0.34489922372275317,0.6180257510729614,0.17341675723376784,0.2827586206896552
9,0.001416088007909459,0.996699209669921,0.38092798594847777,0.9969879518072289,0.7228915662650602,0.3793441938178781,0.5555555555555556,0.30485878954487006,0.592274678111588,0.16986661436919276,0.27586206896551724
10,0.0013430773112950958,0.9968129993715773,0.45177133655394525,0.9969879518072289,0.7228915662650602,0.4032524120759415,0.5802469135802469,0.3317574225705364,0.6051502145922747,0.19069782284236933,0.2896551724137931
