epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_indian_f1,ood_indian_f1_micro,ood_ultra_f1,ood_ultra_f1_micro
0,,0.4299986666263438,0.39562320562320563,0.6043613707165109,0.6296296296296297,0.1904865649963689,0.43373493975903615,0.33631409786386796,0.5879828326180258,0.32214526191620335,0.3586206896551724
1,0.033476706984690074,0.5879252627336637,0.456483398512384,0.660436137071651,0.5802469135802469,0.22803385274781154,0.5301204819277109,0.27886466886401917,0.5364806866952789,0.261837727928637,0.3103448275862069
2,0.0217401774409256,0.783225865749324,0.5709932355501975,0.7881619937694704,0.654320987654321,0.27046657046657047,0.5783132530120482,0.3785844078157245,0.6137339055793991,0.3190268266438919,0.4068965517241379
3,0.0133932769596461,0.9259094398990542,0.8033219866553201,0.9501557632398754,0.8148148148148148,0.2615581098339719,0.5180722891566265,0.623747475774543,0.7939914163090128,0.479348161417127,0.47586206896551725
4,0.0072248773895180925,0.9729979399644126,0.7950530950530951,0.9813084112149533,0.8148148148148148,0.2579221210826395,0.5301204819277109,0.6626922775091477,0.8111587982832618,0.4546291100960427,0.496551724137931
5,0.003916005483215316,1.0,0.8064025425491752,1.0,0.8148148148148148,0.27402083125353566,0.5060240963855421,0.6904349754255769,0.8283261802575107,0.46793389961910536,0.503448275862069
6,0.002886270919108983,1.0,0.81254030456929,1.0,0.8271604938271605,0.2962664695507833,0.5662650602409639,0.7010589853464029,0.8412017167381974,0.46888502969898316,0.5172413793103449
7,0.0022946538422430247,0.9967476002258611,0.8152566750605967,0.9968847352024922,0.8271604938271605,0.29517396184062844,0.4939759036144578,0.6923504027465457,0.8240343347639485,0.46320512820512827,0.5172413793103449
8,0.002972708352673683,1.0,0.8456473156473157,1.0,0.8518518518518519,0.2992877492877493,0.5421686746987951,0.6741699005655803,0.8111587982832618,0.4427669627669628,0.5379310344827586
9,0.0020005371680436946,1.0,0.8389183232466815,1.0,0.8518518518518519,0.263662214126695,0.5421686746987951,0.6684140369330057,0.8283261802575107,0.4710678210678211,0.5103448275862069
10,0.0018921284285599587,0.979607843137255,0.8426314426314427,0.9968847352024922,0.8518518518518519,0.2926674148896371,0.5301204819277109,0.677635957063833,0.8197424892703863,0.4155691442556234,0.47586206896551725
