dataset,n_misclassified,adjacent_pct,near_pct,cross_axis_pct,diametric_pct,crosses_higher_order_axis_pct,mean_distance,median_distance
joint,27,7.407407407407407,33.333333333333336,55.55555555555556,3.7037037037037037,92.5925925925926,3.6296296296296298,4.0
ultra,54,12.962962962962964,38.888888888888886,46.2962962962963,1.8518518518518519,85.18518518518519,3.259259259259259,3.0
