population,value,rank,token,z_score,n_focal,n_comparison,focal_size,comparison_size
Ultra,TR,17,tradition,0.600508285147166,4,0,381,16
Ultra,TR,18,mitzvot,0.600508285147166,4,0,381,16
Ultra,TR,19,judaism,0.600508285147166,4,0,381,16
Ultra,TR,20,daughters,0.600508285147166,4,0,381,16
Ultra,UN,1,others,2.817147827333672,6,1,222,838
Ultra,UN,2,children,2.628406173036794,5,1,222,838
Ultra,UN,3,women,2.2790085436015044,4,1,222,838
Ultra,UN,4,give,2.169793715993712,4,2,222,838
Ultra,UN,5,different,1.8755777907525775,4,3,222,838
Ultra,UN,6,inclusion,1.873884419053947,4,3,222,838
Ultra,UN,7,integration,1.8721898457606283,4,3,222,838
Ultra,UN,8,love,1.8384280086321692,3,0,222,838
Ultra,UN,9,people,1.8203866236996462,7,9,222,838
Ultra,UN,10,child,1.8029529697352509,4,0,222,838
Ultra,UN,11,every,1.7782437567518534,4,0,222,838
Ultra,UN,12,respect,1.6298174526978628,6,8,222,838
Ultra,UN,13,tolerance,1.6152840762595693,4,4,222,838
Ultra,UN,14,among,1.5155798508695528,2,1,222,838
Ultra,UN,15,treatment,1.501095875921268,2,1,222,838
Ultra,UN,16,general,1.494809533157635,2,1,222,838
Ultra,UN,17,openness,1.4927024448388084,2,1,222,838
Ultra,UN,18,good,1.3346442803027787,2,2,222,838
Ultra,UN,19,promotion,1.2372308492677875,2,2,222,838
Ultra,UN,20,ultra-orthodox,1.2283618523328483,3,0,222,838
