pair,a,b,emb_centroid,emb_energy,transfer,jsd,jaccard,overlap
asian-indian,asian,indian,0.039252281188964844,0.019146084785461426,0.7040500000000001,0.4683791268294187,0.7745856353591161,0.53
asian-ultra,asian,ultra,0.13301104307174683,0.053115248680114746,0.44965,0.6393859163657132,0.8262668045501551,0.71
indian-ultra,indian,ultra,0.14806842803955078,0.059762001037597656,0.42395000000000005,0.6503078382965957,0.8278829604130808,0.74
asian-ijh,asian,ijh,0.12066525220870972,0.047571778297424316,0.3539,0.6245772340213789,0.812128418549346,0.74
indian-ijh,indian,ijh,0.16967880725860596,0.06636381149291992,0.2993,0.6553400312481945,0.8222862632084534,0.79
ijh-ultra,ijh,ultra,0.14627724885940552,0.055769920349121094,0.21600000000000003,0.6103161498064331,0.7868217054263567,0.76
