setting,ac_pred_share_orig,ac_pred_share_masked,delta_ac_pred_share,ac_f1_orig,ac_f1_masked,delta_ac_f1,macro_f1_orig,macro_f1_masked
base,0.4968506854390515,0.48314190440904037,-0.013708781030011108,0.6716092455298736,0.6507092198581561,-0.020900025671717448,0.4252910971823294,0.41595501702554794
asian_FT,0.31678399407187846,0.3082623193775472,-0.008521674694331238,0.7780852241283897,0.7634529147982063,-0.014632309330183335,0.6144956120980841,0.6075755309521287
indian_FT,0.425713227121156,0.419414597999259,-0.0062986291218969925,0.8100904331270824,0.8013435700575816,-0.008746863069500788,0.7082951692185532,0.7003693428702327
joint_FT,0.5650240829937013,0.56428306780289,-0.0007410151908113782,0.6960032297133629,0.694949494949495,-0.0010537347638679417,0.34120360983820947,0.3419452448453396
ultra_FT,0.21415339014449797,0.19340496480177843,-0.020748425342719534,0.6901960784313725,0.6485753052917232,-0.04162077313964929,0.6092244979388145,0.5972243565663161
