pair,a,b,jsd,jaccard,overlap,same_nation,size_ratio,length_diff,transfer
asian-indian,asian,indian,0.46837912682941873,0.7745856353591161,0.53,0,1.0615906096561847,0.7142382371898166,0.7040500000000001
asian-ultra,asian,ultra,0.6393859163657132,0.8262668045501551,0.71,0,0.5846665375658754,0.3098877206645896,0.44965
indian-ultra,indian,ultra,0.6503078382965957,0.8278829604130808,0.74,0,0.47692407209030935,1.0241259578544062,0.42395000000000005
asian-ijh,asian,ijh,0.6245772340213789,0.812128418549346,0.74,0,0.033693845786472644,1.1026629884022068,0.3539
indian-ijh,indian,ijh,0.6553400312481945,0.8222862632084534,0.79,0,1.027896763869712,1.8169012255920234,0.2993
ijh-ultra,ijh,ultra,0.6103161498064331,0.7868217054263567,0.76,1,0.5509726917794028,0.7927752677376172,0.21600000000000003
